meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start,source_closure_retrieved_utc
1287,11301,6,81,21,24,SOFT,3.0,2026-06-14T15:39:08.402349Z
1287,11302,1,77,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,11,1,3,MEDIUM,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,27,1,3,MEDIUM,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,77,4,6,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,2,27,4,6,MEDIUM,3.0,2026-06-14T15:39:12.384569Z
1287,11302,1,23,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,1,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,55,1,4,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,11,4,7,MEDIUM,3.0,2026-06-14T15:39:12.384569Z
1287,11302,1,14,1,4,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,87,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,18,1,6,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,31,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,16,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,5,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,11,8,9,MEDIUM,7.0,2026-06-14T15:39:12.384569Z
1287,11302,1,10,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,41,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,14,5,6,SOFT,4.0,2026-06-14T15:39:12.384569Z
1287,11302,3,77,7,14,SOFT,6.0,2026-06-14T15:39:12.384569Z
1287,11302,1,43,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,81,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,12,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,3,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,41,4,5,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,2,16,4,6,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,43,4,4,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,2,55,5,7,SOFT,4.0,2026-06-14T15:39:12.384569Z
1287,11302,1,30,1,4,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,23,4,5,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,1,6,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,1,63,1,3,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,14,7,8,SOFT,6.0,2026-06-14T15:39:12.384569Z
1287,11302,4,11,10,12,MEDIUM,9.0,2026-06-14T15:39:12.384569Z
1287,11302,1,44,1,4,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,31,4,6,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,18,7,7,SOFT,6.0,2026-06-14T15:39:12.384569Z
1287,11302,2,10,4,5,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,3,31,7,7,SOFT,6.0,2026-06-14T15:39:12.384569Z
1287,11302,3,27,7,13,MEDIUM,6.0,2026-06-14T15:39:12.384569Z
1287,11302,2,63,4,5,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,2,81,4,6,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,2,1,4,9,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,3,43,5,7,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,12,4,6,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,2,6,4,6,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,41,6,8,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,44,5,7,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,30,5,7,SOFT,4.0,2026-06-14T15:39:12.384569Z
1287,11302,2,3,4,6,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,3,23,6,8,SOFT,5.0,2026-06-14T15:39:12.384569Z
1287,11302,4,31,8,8,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,2,87,4,6,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,4,14,9,11,SOFT,8.0,2026-06-14T15:39:12.384569Z
1287,11302,3,30,8,8,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,18,8,10,SOFT,7.0,2026-06-14T15:39:12.384569Z
1287,11302,2,5,4,6,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,3,10,6,8,SOFT,5.0,2026-06-14T15:39:12.384569Z
1287,11302,5,11,13,18,MEDIUM,12.0,2026-06-14T15:39:12.384569Z
1287,11302,3,16,7,10,SOFT,6.0,2026-06-14T15:39:12.384569Z
1287,11302,3,6,7,8,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,27,14,16,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,44,8,10,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,6,11,19,21,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,41,9,11,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,23,9,10,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,30,9,10,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,55,8,14,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,6,9,10,SOFT,2.0,2026-06-14T15:39:12.384569Z
1287,11302,4,10,9,10,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,5,7,9,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,5,14,12,14,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,43,8,10,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,18,11,13,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,16,11,13,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,3,7,9,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,5,10,10,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,3,63,6,8,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,12,7,9,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,81,7,9,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,5,27,17,19,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,5,31,9,12,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,3,87,7,10,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,5,30,11,12,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,3,1,10,12,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,5,18,14,17,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,6,14,15,18,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,5,5,11,13,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,3,10,12,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,5,41,12,16,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,5,43,11,14,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,63,9,11,SOFT,5.0,2026-06-14T15:39:12.384569Z
1287,11302,5,16,14,17,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,6,27,20,22,SOFT,6.0,2026-06-14T15:39:12.384569Z
1287,11302,5,23,11,15,SOFT,2.0,2026-06-14T15:39:12.384569Z
1287,11302,4,55,15,19,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,44,11,16,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,6,30,13,15,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,12,10,12,SOFT,6.0,2026-06-14T15:39:12.384569Z
1287,11302,6,31,13,15,SOFT,4.0,2026-06-14T15:39:12.384569Z
1287,11302,4,87,11,13,SOFT,4.0,2026-06-14T15:39:12.384569Z
1287,11302,5,10,11,15,SOFT,0.0,2026-06-14T15:39:12.384569Z
1287,11302,4,81,10,12,SOFT,3.0,2026-06-14T15:39:12.384569Z
1287,11302,5,6,11,15,SOFT,4.0,2026-06-14T15:39:12.384569Z
1287,11302,4,1,13,15,SOFT,3.0,2026-06-14T15:39:12.384569Z
